image_path,label,subject,source
data/Camera 1/train/c0/1000.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1001.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1002.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1003.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1004.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1005.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1006.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1007.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1008.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1009.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1010.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1011.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1012.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1013.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1014.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1015.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1016.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1017.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1018.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1020.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1021.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1022.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1023.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1024.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1025.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1026.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1027.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1028.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1029.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1030.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1031.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1032.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1033.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1034.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1035.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1036.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1037.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1038.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1040.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1041.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1042.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1043.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1044.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1053.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1054.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1055.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1056.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1057.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1058.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1059.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1060.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1061.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1062.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1063.jpg,0,p7,Camera 1
